Name,Org,Pos,Current Level,FV,K%,BB%,BABIP,ISO,wOBA,wRC+,SwStr%,Strikes,Pitches,playerId
"Edward Olivares","SDP","CF","AAA","40",0.17761989,0.06394316,0.31795511,0.1609421,0.3439502285379687,111.53023629146556,0.10407346,2800,4247,"19698"
"Ronnie Dawson","HOU","CF","AAA","40+",0.28284855,0.09528586,0.30357143,0.17431192,0.33371106731422495,105.16885449614252,0.13711289,2509,4004,"19710"
"Abraham Toro","HOU","3B","MLB","40",0.17840376,0.11267606,0.32382311,0.19541485,0.38392986736055146,137.2051624922764,0.09872688,2609,4163,"19844"
"Riley Adams","TOR","C","AAA","40",0.26213592,0.11650485,0.33898305,0.14835948,0.35350539526220076,125.61128178236358,0.10994293,2048,3329,"19864"
"Emmanuel Rivera","KCR","3B","MLB","40",0.14609053,0.05658436,0.29920213,0.11148272,0.3124906835536306,92.08489157528784,0.0946854,2153,3274,"19890"
"Pavin Smith","ARI","1B","MLB","40",0.12462908,0.11473788,0.2928475,0.15585893,0.35511205676529145,121.42196651323599,0.06590101,2215,3657,"19892"
"Connor Wong","LAD","C","AAA","40+",0.31361607,0.078125,0.36831276,0.23697271,0.3756306554352105,131.3362615052149,0.16810842,2225,3468,"19896"
"Gavin Sheets","CHW","1B","MLB","40",0.17578125,0.10351563,0.32440056,0.1309656,0.3550193404080346,122.4405743190137,0.09358622,2445,4007,"19901"
"Anderson Tejeda","TEX","SS","AA","45+",0.28449502,0.09388336,0.33088235,0.1728,0.3454728051701218,113.41095836468797,0.14879406,1711,2695,"19909"
"Jesus Sanchez","MIA","RF","MLB","50",0.20146905,0.06820567,0.32078313,0.14449541,0.3353203853807951,107.80326590947894,0.12247839,2254,3470,"19913"
"Daulton Varsho","ARI","C","MLB","50",0.1674938,0.08933002,0.32971014,0.20224719,0.3910066530627398,145.4653913663969,0.08894879,1857,2968,"19918"
"Ryan McKenna","BAL","CF","MLB","45",0.19856887,0.1118068,0.33472222,0.13778706,0.35669406049366326,125.59336323361848,0.11855795,2530,4133,"19928"
"Cristian Pache","ATL","CF","AAA","60",0.21179884,0.06092843,0.33977901,0.15833333,0.3430963298921919,114.75193964991533,0.13754348,2463,3737,"19948"
"Andres Gimenez","NYM","SS","AAA","50",0.19735504,0.05595117,0.32296296,0.1322691,0.3322911381967797,110.71173326789572,0.11515481,2516,3682,"19950"
"Khalil Lee","KCR","RF","AAA","45",0.26632124,0.12849741,0.36612022,0.11642157,0.3506253725401825,117.04841299644647,0.12249208,2290,3788,"19952"
"Gavin Lux","LAD","2B","MLB","60",0.18147087,0.11270296,0.38505747,0.2247557,0.4192933765636093,156.3059079658591,0.08147405,2391,3989,"19955"
"Mickey Moniak","PHI","CF","AAA","40+",0.21775026,0.05675955,0.32058824,0.15144767,0.3229288490942723,105.36796781394584,0.13943291,2314,3421,"19956"
"Carter Kieboom","WSN","SS","AAA","60",0.1986692,0.11977186,0.34323923,0.17569061,0.37624121767129365,124.63601113597753,0.09602328,2489,4124,"19958"
"Taylor Trammell","SDP","LF","AAA","55",0.23282051,0.12820513,0.32659933,0.1212485,0.3434066159297258,115.68778321466961,0.14125376,2202,3653,"19960"
"Bobby Dalbec","BOS","3B","MLB","45",0.28506787,0.12579186,0.30265487,0.25997842,0.38423717603318347,142.14406224208884,0.14806726,2771,4579,"19966"
"Jared Oliva","PIT","CF","MLB","40+",0.20291363,0.08532778,0.3400936,0.13404508,0.3501962707602503,123.53993631977437,0.10016648,2321,3604,"19968"
"Isaac Paredes","DET","3B","MLB","50",0.12998102,0.10246679,0.29868421,0.15494506,0.3636022480948343,132.28393143785058,0.05248425,2575,4287,"20036"
"Jorge Ona","SDP","LF","MLB","40",0.26510721,0.08576998,0.33974359,0.15098469,0.33365398657042533,103.29055018043802,0.14377682,1187,1864,"20040"
"Luis Robert","CHW","CF","A+","55",0.23847167,0.05270092,0.37888199,0.24092889,0.4026647592787699,150.6286191651524,0.18322381,1780,2587,"20043"
"Evan White","SEA","1B","MLB","50",0.20920502,0.08472803,0.35534591,0.17112922,0.3686675024482439,127.29810700493152,0.10864745,2239,3608,"20078"
"Dylan Carlson","STL","LF","MLB","50",0.19245283,0.11320755,0.30746706,0.2006579,0.3703442660687994,130.19886712369157,0.11383455,2590,4243,"20126"
"Brandon Marsh","LAA","CF","MLB","50",0.25468904,0.11846002,0.36867863,0.13235294,0.3511221606143663,118.8105570836696,0.08327138,2392,4035,"20202"
"Jo Adell","LAA","RF","AAA","65",0.26214834,0.07928389,0.36808511,0.22396576,0.38477086623509726,137.27416389603042,0.14324052,1867,2981,"20220"
"Gilberto Celestino","MIN","CF","MLB","40",0.16293532,0.08208955,0.32302405,0.12845304,0.35285126880164747,118.6658558797312,0.08737177,1747,2827,"20233"
"Mario Feliciano","MIL","C","CPX","45",0.3028065,0.06499261,0.34183673,0.18137255,0.34460277239481607,114.58359788267678,0.19043948,1692,2594,"20263"
"Jonathan Arauz","HOU","2B","AAA","40",0.1682243,0.08930426,0.27259475,0.14153132,0.3206536735718449,98.21121424922325,0.08236229,2383,3776,"20275"
"Ben Rortvedt","MIN","C","MLB","40",0.19465082,0.09806835,0.3010989,0.12794613,0.3289449243488426,106.69071968064394,0.11372064,1513,2427,"20287"
"Stuart Fairchild","CIN","CF","MLB","40",0.21574642,0.09406953,0.32436709,0.15887851,0.35546077957172845,124.88553313297564,0.12785891,2268,3629,"20321"
"Alex Kirilloff","MIN","RF","MLB","50",0.16666667,0.06893004,0.36221591,0.18827509,0.39580601281192707,150.3210481332943,0.1059563,2179,3341,"20325"
"Luis Gonzalez","CHW","RF","AAA","45",0.17810761,0.08812616,0.31926121,0.15183246,0.34950079152750413,120.3246802642152,0.0853804,2603,4193,"20332"
"Ernie Clement","CLE","SS","MLB","40",0.07491857,0.07491857,0.29868421,0.07402913,0.3208632476374294,101.86862989696398,0.04412719,2037,3082,"20352"
"Luis Garcia","WSN","SS","AAA","50",0.15314494,0.0437557,0.31929825,0.09365854,0.30771569550257327,95.16152107170264,0.11306043,2412,3591,"20391"
"Jazz Chisholm Jr.","MIA","SS","MLB","55",0.30865485,0.09489051,0.31976744,0.23149236,0.3608222301734749,126.26376959418764,0.15697231,2486,3937,"20454"
"William Contreras","ATL","C","AAA","50",0.20400943,0.0754717,0.32649573,0.12581063,0.3324815554821745,111.54270755983364,0.13887086,2015,3082,"20503"
"Nick Madrigal","CHW","2B","MLB","55",0.02978723,0.07234043,0.31096563,0.08917197,0.35362468151835336,119.70738391783449,0.02517361,1466,2304,"20521"
"Vidal Brujan","TBR","2B","AAA","55",0.13203685,0.10235415,0.33933518,0.12703963,0.37167480891189497,134.75956044927045,0.0678015,2118,3466,"20536"
"Jose Devers","MIA","2B","MLB","45",0.13204225,0.0528169,0.33705357,0.06130268,0.32036124484788886,103.05057513719912,0.09625963,1243,1818,"20540"
"Nico Hoerner","CHC","2B","MLB","50",0.096,0.08266667,0.31986532,0.13056379,0.3653397636413574,129.9614808200583,0.06152648,843,1284,"21479"
"Trevor Larnach","MIN","RF","MLB","50",0.21140473,0.10848401,0.37634409,0.16082803,0.3896516625697796,147.37425085523415,0.12027869,1641,2727,"21501"
"Jonathan India","CIN","3B","MLB","50",0.22126437,0.125,0.31325301,0.15570934,0.3621289668916967,128.70522586102723,0.1140125,1613,2719,"21523"
