Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2014,"Nick Struck","LAD","AA",24,16,24,0.3,0.08333333,0.16666667,0.05,0.375,0.15437663570256205,0.3345649675889449,105.62073117729267,0.33333333,0.46666667,0.2,0.41176471,0.29411765,0.29411765,0.09722222,72,"sa503356"
2012,"Nick Struck","CHC","AA",22,18,35,0.03571429,0.02857143,0.25714286,0.03571428,0.05263158,-6.927211850279233,0.07093100712217133,-75.2128863020473,0.11111111,0.72222222,0.16666667,0.52173913,0.30434783,0.17391304,0.08035714,112,"sa503356"
2012,"Gary Moran","ATL","AA",27,21,40,0.17857143,0.125,0.2,0,0.25,-1.9614164238801144,0.26685574300148907,56.59043490237432,0.25,0.7,0.05,0.29166667,0.20833333,0.5,0.09210526,152,"sa503366"
2016,"Chris O'Dowd","CHW","AA",25,29,97,0.2195122,0.11340206,0.2371134,0.03658536,0.30508475,-2.629344599279471,0.28340567680115397,75.1850105674028,0.24137931,0.44827586,0.31034483,0.40983607,0.19672131,0.39344262,0.12436548,394,"sa503377"
2017,"Chris O'Dowd","CHW","AA",26,13,42,0.17647059,0.0952381,0.26190476,0.02941176,0.25,-2.492247504342065,0.23841510117053985,44.39418683872022,0.30434783,0.39130435,0.30434783,0.30769231,0.34615385,0.34615385,0.11904762,168,"sa503377"
2015,"Chris O'Dowd","ATL","AA",24,26,99,0.30379747,0.18181818,0.19191919,0.16455696,0.37288136,6.297126509754064,0.41460305329450625,157.07904236069535,0.19672131,0.47540984,0.32786885,0.44262295,0.21311475,0.3442623,0.09178744,414,"sa503377"
2017,"Jeff Gelalich","CHW","AA",26,28,86,0.29333333,0.08139535,0.22093023,0.06666667,0.38181818,1.5896650327902382,0.34375542189393726,117.32149954791531,0.30357143,0.32142857,0.375,0.27586207,0.4137931,0.31034483,0.10280374,321,"sa503399"
2016,"Jeff Gelalich","CIN","AA",25,75,257,0.24894515,0.05836576,0.3618677,0.11814346,0.3986014,-2.6518428949383,0.3061825581422941,90.55389021476859,0.22695035,0.38297872,0.39007092,0.40816327,0.29251701,0.29931973,0.1761194,1005,"sa503399"
2012,"Danny Black","MIA","AA",23,8,38,0.26470588,0.07894737,0.28947368,0.0882353,0.375,-0.6254238281534862,0.3097252155605115,85.42976872207831,0.18181818,0.36363636,0.45454545,0.375,0.20833333,0.41666667,0.09219858,141,"sa503432"
2013,"Danny Black","MIA","AA",24,98,359,0.2,0.09749304,0.20612813,0.06031746,0.25523013,-14.55381229381815,0.26271524585106154,61.98846711376038,0.18534483,0.49568966,0.31896552,0.38866397,0.23076923,0.3805668,0.0849532,1389,"sa503432"
2014,"Danny Black","MIA","AA",25,69,252,0.22380952,0.14285714,0.22619048,0.1,0.29605263,-2.1630061316952793,0.31507298782948523,92.49968170638815,0.11184211,0.55921053,0.32894737,0.42675159,0.17834395,0.39490446,0.09812109,958,"sa503432"
2015,"Danny Black","MIA","AA",26,28,92,0.24675325,0.11956522,0.20652174,0.07792207,0.32758621,-0.602856350244508,0.32059742442586203,94.11975438170394,0.18965517,0.46551724,0.34482759,0.36065574,0.2295082,0.40983607,0.0839895,381,"sa503432"
2014,"Michael Ratterree","MIL","AA",23,7,30,0.11538462,0.13333333,0.4,0.15384615,0.15384615,-1.9476281981524053,0.24194088379542034,43.27071847208083,0,0.28571429,0.71428571,0.5,0.21428571,0.28571429,0.1459854,137,"sa503586"
2014,"Beau Amaral","CIN","AA",23,10,35,0.16666667,0.14285714,0.14285714,0.06666666,0.2,-1.8703673653804038,0.25684556109564644,53.30381981004136,0.16,0.52,0.32,0.32,0.24,0.44,0.07086614,127,"sa503642"
2015,"Beau Amaral","CIN","AA",24,112,372,0.22418879,0.05645161,0.20698925,0.06489676,0.27692308,-16.1918323900217,0.27105745096622436,60.94087463743716,0.20622568,0.55642023,0.23735409,0.37078652,0.22846442,0.40074906,0.08291276,1387,"sa503642"
2016,"Beau Amaral","CIN","AA",25,38,160,0.24637681,0.08125,0.20625,0.12318841,0.2952381,0.01924309657041883,0.3203449887075242,100.11010151565691,0.21904762,0.43809524,0.34285714,0.37272727,0.3,0.32727273,0.10333333,600,"sa503642"
2014,"Adam Heisler","CHW","AA",26,9,31,0.24,0.06451613,0.22580645,0.2,0.33333333,0.3916215781514907,0.3426139908177512,111.03894078354739,0.16666667,0.5,0.33333333,0.33333333,0.33333333,0.33333333,0.1122449,98,"sa503658"
2011,"David Wendt","TBR","AA",24,14,44,0.21052632,0.09090909,0.18181818,0.13157894,0.26666667,-1.279925074444097,0.3000778181608333,76.21611352788955,0.25,0.57142857,0.17857143,0.48387097,0.25806452,0.25806452,0.10967742,155,"sa503803"
2012,"David Wendt","TBR","AA",25,18,63,0.27586207,0.03174603,0.14285714,0.12068965,0.32653061,0.335633397581496,0.33839449333766153,104.71628714253964,0.08695652,0.58695652,0.32608696,0.34693878,0.24489796,0.40816327,0.12234043,188,"sa503803"
2013,"Anthony Giansanti","CHC","AA",24,40,110,0.24752475,0.04545455,0.2,0.08910891,0.3125,-2.1019446947757965,0.2918997346808057,82.08314979818803,0.17948718,0.43589744,0.38461538,0.38271605,0.27160494,0.34567901,0.0960452,354,"sa503822"
2014,"Anthony Giansanti","CHC","AA",25,90,243,0.23873874,0.0617284,0.14814815,0.07657658,0.27173913,-8.470359847344684,0.28096645671453435,69.54082952396516,0.11049724,0.56906077,0.32044199,0.39583333,0.21354167,0.390625,0.07308585,862,"sa503822"
2015,"Anthony Giansanti","CHC","AA",26,64,191,0.23076923,0.08900524,0.15706806,0.03550296,0.27857143,-7.444260506978188,0.2771555397738802,65.0250059174815,0.18045113,0.47368421,0.34586466,0.43356643,0.23776224,0.32867133,0.09169054,698,"sa503822"
2016,"Anthony Giansanti","CHC","AA",27,18,37,0.22857143,0.05405405,0.27027027,0.11428571,0.29166667,-0.934683199080291,0.2859087409199895,76.87397274865361,0.25,0.375,0.375,0.6,0.2,0.2,0.10638298,141,"sa503822"
2013,"Danny Vicioso","CIN","AA",24,21,68,0.15873016,0.05882353,0.23529412,0.06349206,0.19565217,-5.185281459633465,0.21408059491830714,28.501573316752616,0.10869565,0.65217391,0.23913043,0.46808511,0.17021277,0.36170213,0.16818182,220,"sa503860"
2017,"Omar Bencomo","MIA","AA",28,10,16,0.08333333,0,0.375,0,0.16666667,-2.859078490305107,0.07686146597067516,-67.44971483748665,0.25,0.5,0.25,0.22222222,0.33333333,0.44444444,0.08928571,56,"sa503950"
2014,"Wilfredo Gimenez","MIA","AA",23,44,152,0.24324324,0.01973684,0.11842105,0.07432433,0.26923077,-7.630813886482092,0.2610466766514276,56.13180576737542,0.17054264,0.49612403,0.33333333,0.46969697,0.17424242,0.35606061,0.09871245,466,"sa504051"
2015,"Victor Mateo","ATL","AA",25,13,23,0.05263158,0.04347826,0.39130435,0,0.1,-4.222956589635315,0.08336759209632874,-64.76244778634957,0,0.88888889,0.11111111,0.38461538,0.23076923,0.38461538,0.14084507,71,"sa504206"
2014,"Alejandro Segovia","TBR","AA",24,88,343,0.22372881,0.11661808,0.20116618,0.15593221,0.25688073,0.5284764991673068,0.32821514099054366,101.34633781358863,0.19196429,0.33482143,0.47321429,0.51315789,0.19298246,0.29385965,0.11803279,1220,"sa504965"
2013,"Hector Guevara","TBR","AA",21,34,127,0.2300885,0.09448819,0.13385827,0.03539823,0.27083333,-3.752909954462392,0.2776802825549292,72.29249079152133,0.17894737,0.50526316,0.31578947,0.44329897,0.2371134,0.31958763,0.0720524,458,"sa504966"
2014,"Hector Guevara","TBR","AA",22,33,116,0.21568627,0.06896552,0.0862069,0.11764706,0.22340426,-4.443115297453364,0.27649413389072086,66.53028007002202,0.2173913,0.42391304,0.35869565,0.45360825,0.25773196,0.28865979,0.03166227,379,"sa504966"
2015,"Hector Guevara","TBR","AA",23,36,133,0.20491803,0.06015038,0.11278195,0.09836066,0.20560748,-7.106393708674263,0.25778587823523613,52.05237743189245,0.21495327,0.43925234,0.34579439,0.40540541,0.25225225,0.34234234,0.06855792,423,"sa504966"
2014,"Leonardo Reginatto","TBR","AA",24,17,63,0.12962963,0.0952381,0.14285714,0,0.15555556,-5.79169473322194,0.2068781266136775,19.66818156996401,0.06818182,0.56818182,0.36363636,0.37777778,0.22222222,0.4,0.05777778,225,"sa504970"
2015,"Leonardo Reginatto","TBR","AA",25,58,239,0.27142857,0.09623431,0.13389121,0.12380953,0.30681818,3.4269693535241585,0.34858946704258353,112.8671325274206,0.22988506,0.45977011,0.31034483,0.40659341,0.22527473,0.36813187,0.04942529,870,"sa504970"
2016,"Leonardo Reginatto","MIN","AA",26,109,453,0.26980198,0.06843267,0.14569536,0.06683168,0.3128655,-2.8369123094299677,0.31168535558436006,94.26694602536318,0.22155689,0.55988024,0.21856287,0.42816092,0.21264368,0.3591954,0.05510907,1742,"sa504970"
2012,"Taylor Krick","MIA","AA",24,7,21,0.1875,0.14285714,0.14285714,0,0.23076923,-0.7013658094095216,0.28743326365947724,70.43343207525832,0.16666667,0.66666667,0.16666667,0.23076923,0.46153846,0.30769231,0.05194805,77,"sa505580"
2013,"Taylor Krick","MIA","AA",25,43,120,0.26470588,0.11666667,0.225,0.0882353,0.35135135,2.6061039303581506,0.3474955519040426,120.3630837795493,0.24,0.52,0.24,0.40789474,0.25,0.34210526,0.12053571,448,"sa505580"
2012,"J.T. Wise","LAD","AA",26,121,488,0.27751196,0.12704918,0.25614754,0.16746412,0.37412587,18.01339982764184,0.3799589428391476,132.6777003032739,0.17182131,0.40893471,0.41924399,0.4779661,0.2779661,0.2440678,0.14157895,1900,"sa505632"
2013,"J.T. Wise","LAD","AA",27,106,321,0.24460432,0.12149533,0.2741433,0.15827338,0.32786885,6.387863248131407,0.3450203330539237,118.65879703812932,0.2010582,0.4021164,0.3968254,0.51030928,0.22680412,0.2628866,0.13003096,1292,"sa505632"
2015,"Heiker Meneses","MIN","AA",23,100,386,0.25882353,0.06217617,0.1865285,0.04117647,0.32352941,-9.686351748767864,0.2957543252309163,77.48134819976363,0.29477612,0.44776119,0.25746269,0.44839858,0.2455516,0.30604982,0.10595065,1378,"sa506229"
2016,"Heiker Meneses","MIN","AA",24,4,17,0.3125,0.05882353,0.11764706,0.0625,0.35714286,0.24718950344943472,0.3399092905661639,113.31126791533741,0.14285714,0.64285714,0.21428571,0.28571429,0.14285714,0.57142857,0.10526316,57,"sa506229"
2014,"Jordy Lara","SEA","AA",23,33,138,0.28571429,0.05797101,0.13768116,0.2063492,0.30188679,3.866353331414019,0.36258416849633923,124.48188975523108,0.17592593,0.40740741,0.41666667,0.45454545,0.22727273,0.31818182,0.07532957,531,"sa506241"
2015,"Jordy Lara","SEA","AA",24,123,494,0.24153499,0.07489879,0.17206478,0.13544018,0.28089888,-3.4768484899493277,0.3199470925766363,93.6842014188646,0.20448179,0.42296919,0.37254902,0.42975207,0.25619835,0.31404959,0.09361925,1912,"sa506241"
2016,"Jordy Lara","ATL","AA",25,53,167,0.22580645,0.05389222,0.18562874,0.12258065,0.25619835,-4.314593961430672,0.28512973388036095,76.34833162785289,0.216,0.456,0.328,0.43307087,0.26771654,0.2992126,0.12359551,623,"sa506241"
2014,"Elmer Reyes","ATL","AA",23,58,228,0.30331754,0.03070175,0.21052632,0.11374407,0.37804878,3.026806646764693,0.3434480410315392,111.60038268177325,0.22560976,0.42682927,0.34756098,0.41666667,0.2202381,0.36309524,0.13577023,766,"sa506274"
2016,"Carlos Franco","ATL","AA",24,121,482,0.25471698,0.10995851,0.2780083,0.0754717,0.36111111,-0.8089456043653824,0.317904818803072,98.46357769973343,0.20557491,0.56445993,0.22996516,0.41296928,0.2559727,0.33105802,0.12331606,1930,"sa506528"
2017,"Carlos Franco","ATL","AA",25,41,165,0.29333333,0.08484848,0.27272727,0.26666667,0.35106383,11.198086685388274,0.4105986945468224,163.59722961772331,0.26666667,0.41904762,0.31428571,0.47169811,0.30188679,0.22641509,0.14306569,685,"sa506528"
2015,"Frank Batista","CHC","AA",26,5,10,0.125,0,0.3,0,0.2,-1.5836417536784455,0.11718950420618057,-42.11057544475017,0.2,0.6,0.2,0.66666667,0.33333333,0,0.17857143,28,"sa506678"
2015,"Raul Navarro","ARI","AA",23,75,266,0.24017467,0.11278195,0.20676692,0.0349345,0.31428571,-5.7584643378903335,0.3003712761084843,80.57350282267276,0.20930233,0.5,0.29069767,0.44632768,0.2259887,0.32768362,0.08892764,1147,"sa506772"
2016,"Eudy Pina","CHW","AA",25,105,418,0.2486911,0.05741627,0.215311,0.06806283,0.31164384,-9.384341631213104,0.2897226584963052,79.4474435999723,0.16376307,0.54006969,0.29616725,0.42857143,0.22923588,0.34219269,0.124,1500,"sa506909"
2015,"Eudy Pina","MIA","AA",24,36,125,0.30909091,0.088,0.16,0.11818182,0.35869565,3.2059200661415588,0.36374151898968604,123.01506104501236,0.17391304,0.54347826,0.2826087,0.43010753,0.21505376,0.35483871,0.07522124,452,"sa506909"
